0:0:0:0:0:0:0:1 - - [05/May/2021:23:45:41 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:45:42 +0900] "GET /text/bbs.jsp HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [05/May/2021:23:45:44 +0900] "GET /text/main.jsp HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [05/May/2021:23:45:44 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/main.jsp HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/css/custom.css HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/images/book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/images/coffee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/images/letters.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/main.jsp HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/images/book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/images/coffee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:46:17 +0900] "GET /text/images/letters.jpg HTTP/1.1" 304 -
